"ID";"Bestedingscategorieen";"Perioden";"CPI_1";"CPIAfgeleid_2";"MaandmutatieCPI_3";"MaandmutatieCPIAfgeleid_4";"JaarmutatieCPI_5";"JaarmutatieCPIAfgeleid_6";"Wegingscoefficient_7"
"0";"T001112  ";"1996MM01";"68.03";"72.28";;;;;"100000"
"1";"T001112  ";"1996MM02";"68.29";"72.55";"0.4";"0.4";;;"100000"
"2";"T001112  ";"1996MM03";"68.92";"73.22";"0.9";"0.9";;;"100000"
"3";"T001112  ";"1996MM04";"69.13";"73.44";"0.3";"0.3";;;"100000"
"4";"T001112  ";"1996MM05";"68.96";"73.26";"-0.2";"-0.2";;;"100000"
"5";"T001112  ";"1996MM06";"68.67";"72.95";"-0.4";"-0.4";;;"100000"
"6";"T001112  ";"1996MM07";"68.84";"73.14";"0.2";"0.3";;;"100000"
"7";"T001112  ";"1996MM08";"68.75";"73.04";"-0.1";"-0.1";;;"100000"
"8";"T001112  ";"1996MM09";"69.37";"73.72";"0.9";"0.9";;;"100000"
"9";"T001112  ";"1996MM10";"69.53";"73.89";"0.2";"0.2";;;"100000"
"10";"T001112  ";"1996MM11";"69.45";"73.8";"-0.1";"-0.1";;;"100000"
"11";"T001112  ";"1996MM12";"69.37";"73.72";"-0.1";"-0.1";;;"100000"
"13";"T001112  ";"1997MM01";"69.45";"73.63";"0.1";"-0.1";"2.1";"1.9";"100000"
"14";"T001112  ";"1997MM02";"69.59";"73.78";"0.2";"0.2";"1.9";"1.7";"100000"
"15";"T001112  ";"1997MM03";"70.12";"74.32";"0.8";"0.7";"1.7";"1.5";"100000"
"16";"T001112  ";"1997MM04";"70.2";"74.39";"0.1";"0.1";"1.5";"1.3";"100000"
"17";"T001112  ";"1997MM05";"70.36";"74.56";"0.2";"0.2";"2";"1.8";"100000"
"18";"T001112  ";"1997MM06";"70.02";"74.21";"-0.5";"-0.5";"2";"1.7";"100000"
"19";"T001112  ";"1997MM07";"70.25";"74.48";"0.3";"0.4";"2";"1.8";"100000"
"20";"T001112  ";"1997MM08";"70.44";"74.68";"0.3";"0.3";"2.5";"2.2";"100000"
"21";"T001112  ";"1997MM09";"71.07";"75.37";"0.9";"0.9";"2.5";"2.2";"100000"
"22";"T001112  ";"1997MM10";"71.14";"75.44";"0.1";"0.1";"2.3";"2.1";"100000"
"23";"T001112  ";"1997MM11";"71.17";"75.47";"0";"0";"2.5";"2.3";"100000"
"24";"T001112  ";"1997MM12";"70.95";"75.24";"-0.3";"-0.3";"2.3";"2.1";"100000"
"26";"T001112  ";"1998MM01";"70.71";"74.81";"-0.3";"-0.6";"1.8";"1.6";"100000"
"27";"T001112  ";"1998MM02";"71.11";"75.22";"0.6";"0.5";"2.2";"2";"100000"
"28";"T001112  ";"1998MM03";"71.7";"75.85";"0.8";"0.8";"2.3";"2.1";"100000"
"29";"T001112  ";"1998MM04";"71.88";"76.04";"0.3";"0.3";"2.4";"2.2";"100000"
"30";"T001112  ";"1998MM05";"71.81";"75.96";"-0.1";"-0.1";"2.1";"1.9";"100000"
"31";"T001112  ";"1998MM06";"71.51";"75.65";"-0.4";"-0.4";"2.1";"1.9";"100000"
"32";"T001112  ";"1998MM07";"71.65";"75.8";"0.2";"0.2";"2";"1.8";"100000"
"33";"T001112  ";"1998MM08";"71.66";"75.8";"0";"0";"1.7";"1.5";"100000"
"34";"T001112  ";"1998MM09";"72.25";"76.45";"0.8";"0.9";"1.7";"1.4";"100000"
"35";"T001112  ";"1998MM10";"72.41";"76.63";"0.2";"0.2";"1.8";"1.6";"100000"
"36";"T001112  ";"1998MM11";"72.41";"76.61";"0";"0";"1.7";"1.5";"100000"
"37";"T001112  ";"1998MM12";"72.21";"76.39";"-0.3";"-0.3";"1.8";"1.5";"100000"
"39";"T001112  ";"1999MM01";"72.25";"76.06";"0.1";"-0.4";"2.2";"1.7";"100000"
"40";"T001112  ";"1999MM02";"72.61";"76.44";"0.5";"0.5";"2.1";"1.6";"100000"
"41";"T001112  ";"1999MM03";"73.24";"77.11";"0.9";"0.9";"2.1";"1.7";"100000"
"42";"T001112  ";"1999MM04";"73.4";"77.28";"0.2";"0.2";"2.1";"1.6";"100000"
"43";"T001112  ";"1999MM05";"73.42";"77.31";"0";"0";"2.2";"1.8";"100000"
